Move,Depth,Value
root,0,-Infinity
F6,1,Infinity
E5,2,-450
F6,1,-450
E6,2,50
F6,1,-450
E7,2,50
F6,1,-450
F5,2,50
F6,1,-450
F7,2,50
F6,1,-450
F8,2,50
F6,1,-450
G5,2,50
F6,1,-450
G6,2,45
F6,1,-450
G8,2,49
F6,1,-450
G9,2,50
F6,1,-450
H5,2,50
F6,1,-450
H6,2,44
F6,1,-450
H9,2,50
F6,1,-450
I5,2,50
F6,1,-450
I8,2,39
F6,1,-450
I9,2,-450
F6,1,-450
J5,2,50
F6,1,-450
J8,2,44
F6,1,-450
K5,2,50
F6,1,-450
K6,2,40
F6,1,-450
K8,2,44
F6,1,-450
L6,2,40
F6,1,-450
L8,2,40
F6,1,-450
M6,2,40
F6,1,-450
M8,2,40
F6,1,-450
N6,2,45
F6,1,-450
N7,2,40
F6,1,-450
N8,2,45
F6,1,-450
root,0,-450
F7,1,Infinity
E6,2,1
F7,1,1
E7,2,1
F7,1,1
E8,2,1
F7,1,1
F6,2,1
F7,1,1
F8,2,1
F7,1,1
G6,2,-4
F7,1,-4
G8,2,0
F7,1,-4
G9,2,1
F7,1,-4
H5,2,1
F7,1,-4
H6,2,-5
F7,1,-5
H9,2,1
F7,1,-5
I5,2,1
F7,1,-5
I8,2,-10
F7,1,-10
I9,2,1
F7,1,-10
J5,2,1
F7,1,-10
J8,2,-5
F7,1,-10
K5,2,1
F7,1,-10
K6,2,-9
F7,1,-10
K8,2,-5
F7,1,-10
L6,2,-9
F7,1,-10
L8,2,-9
F7,1,-10
M6,2,-9
F7,1,-10
M8,2,-9
F7,1,-10
N6,2,-4
F7,1,-10
N7,2,-9
F7,1,-10
N8,2,-4
F7,1,-10
root,0,-10
F8,1,Infinity
E7,2,5
F8,1,5
E8,2,5
F8,1,5
E9,2,5
F8,1,5
F6,2,5
F8,1,5
F7,2,5
F8,1,5
F9,2,5
F8,1,5
G6,2,0
F8,1,0
G8,2,4
F8,1,0
G9,2,5
F8,1,0
H5,2,5
F8,1,0
H6,2,-1
F8,1,-1
H9,2,5
F8,1,-1
I5,2,5
F8,1,-1
I8,2,-6
F8,1,-6
I9,2,5
F8,1,-6
J5,2,5
F8,1,-6
J8,2,-1
F8,1,-6
K5,2,5
F8,1,-6
K6,2,-5
F8,1,-6
K8,2,-1
F8,1,-6
L6,2,-5
F8,1,-6
L8,2,-5
F8,1,-6
M6,2,-5
F8,1,-6
M8,2,-5
F8,1,-6
N6,2,0
F8,1,-6
N7,2,-5
F8,1,-6
N8,2,0
F8,1,-6
root,0,-6
G6,1,Infinity
F5,2,5
G6,1,5
F6,2,5
G6,1,5
F7,2,5
G6,1,5
F8,2,5
G6,1,5
G5,2,5
G6,1,5
G8,2,4
G6,1,4
G9,2,5
G6,1,4
H5,2,5
G6,1,4
H6,2,-1
G6,1,-1
H9,2,5
G6,1,-1
I5,2,5
G6,1,-1
I8,2,-2
G6,1,-2
I9,2,5
G6,1,-2
J5,2,5
G6,1,-2
J8,2,-1
G6,1,-2
K5,2,5
G6,1,-2
K6,2,-5
G6,1,-5
K8,2,-1
G6,1,-5
L6,2,-5
G6,1,-5
L8,2,-5
G6,1,-5
M6,2,-5
G6,1,-5
M8,2,-5
G6,1,-5
N6,2,0
G6,1,-5
N7,2,-5
G6,1,-5
N8,2,0
G6,1,-5
root,0,-5
G8,1,Infinity
F6,2,10
G8,1,10
F7,2,10
G8,1,10
F8,2,10
G8,1,10
F9,2,10
G8,1,10
G6,2,5
G8,1,5
G9,2,10
G8,1,5
H5,2,10
G8,1,5
H6,2,4
G8,1,4
H9,2,10
G8,1,4
I5,2,10
G8,1,4
I8,2,-1
G8,1,-1
I9,2,10
G8,1,-1
J5,2,10
G8,1,-1
J8,2,4
G8,1,-1
K5,2,10
G8,1,-1
K6,2,0
G8,1,-1
K8,2,4
G8,1,-1
L6,2,0
G8,1,-1
L8,2,0
G8,1,-1
M6,2,0
G8,1,-1
M8,2,0
G8,1,-1
N6,2,5
G8,1,-1
N7,2,0
G8,1,-1
N8,2,5
G8,1,-1
root,0,-1
G9,1,Infinity
F6,2,1
G9,1,1
F7,2,1
G9,1,1
F8,2,1
G9,1,1
F9,2,1
G9,1,1
F10,2,1
G9,1,1
G6,2,-4
G9,1,-4
G8,2,0
G9,1,-4
G10,2,1
G9,1,-4
H5,2,1
G9,1,-4
H6,2,-5
G9,1,-5
H9,2,1
G9,1,-5
H10,2,1
G9,1,-5
I5,2,1
G9,1,-5
I8,2,-10
G9,1,-10
I9,2,1
G9,1,-10
J5,2,1
G9,1,-10
J8,2,-5
G9,1,-10
K5,2,1
G9,1,-10
K6,2,-9
G9,1,-10
K8,2,-5
G9,1,-10
L6,2,-9
G9,1,-10
L8,2,-9
G9,1,-10
M6,2,-9
G9,1,-10
M8,2,-9
G9,1,-10
N6,2,-4
G9,1,-10
N7,2,-9
G9,1,-10
N8,2,-4
G9,1,-10
root,0,-1
H5,1,Infinity
F6,2,1
H5,1,1
F7,2,1
H5,1,1
F8,2,1
H5,1,1
G4,2,1
H5,1,1
G5,2,1
H5,1,1
G6,2,-4
H5,1,-4
G8,2,0
H5,1,-4
G9,2,1
H5,1,-4
H4,2,1
H5,1,-4
H6,2,-4
H5,1,-4
H9,2,1
H5,1,-4
I4,2,1
H5,1,-4
I5,2,1
H5,1,-4
I8,2,-10
H5,1,-10
I9,2,1
H5,1,-10
J5,2,1
H5,1,-10
J8,2,-5
H5,1,-10
K5,2,1
H5,1,-10
K6,2,-9
H5,1,-10
K8,2,-5
H5,1,-10
L6,2,-9
H5,1,-10
L8,2,-9
H5,1,-10
M6,2,-9
H5,1,-10
M8,2,-9
H5,1,-10
N6,2,-4
H5,1,-10
N7,2,-9
H5,1,-10
N8,2,-4
H5,1,-10
root,0,-1
H6,1,Infinity
F6,2,55
H6,1,55
F7,2,55
H6,1,55
F8,2,55
H6,1,55
G5,2,55
H6,1,55
G6,2,-450
H6,1,-450
G8,2,54
H6,1,-450
G9,2,55
H6,1,-450
H5,2,55
H6,1,-450
H9,2,55
H6,1,-450
I5,2,55
H6,1,-450
I8,2,44
H6,1,-450
I9,2,55
H6,1,-450
J5,2,55
H6,1,-450
J8,2,53
H6,1,-450
K5,2,55
H6,1,-450
K6,2,-455
H6,1,-455
K8,2,49
H6,1,-455
L6,2,45
H6,1,-455
L8,2,45
H6,1,-455
M6,2,45
H6,1,-455
M8,2,45
H6,1,-455
N6,2,50
H6,1,-455
N7,2,45
H6,1,-455
N8,2,50
H6,1,-455
root,0,-1
H9,1,Infinity
F6,2,1
H9,1,1
F7,2,1
H9,1,1
F8,2,1
H9,1,1
G6,2,-4
H9,1,-4
G8,2,0
H9,1,-4
G9,2,1
H9,1,-4
