Move,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
C6,1,Infinity,-Infinity,Infinity
B5,2,-450,-Infinity,Infinity
C6,1,-450,-Infinity,-450
B6,2,50,-Infinity,-450
C6,1,-450,-Infinity,-450
B7,2,50,-Infinity,-450
C6,1,-450,-Infinity,-450
C5,2,50,-Infinity,-450
C6,1,-450,-Infinity,-450
C7,2,45,-Infinity,-450
C6,1,-450,-Infinity,-450
C8,2,-51,-Infinity,-450
C6,1,-450,-Infinity,-450
C9,2,-4950,-Infinity,-450
C6,1,-4950,-Infinity,-4950
D3,2,50,-Infinity,-4950
C6,1,-4950,-Infinity,-4950
D4,2,50,-Infinity,-4950
C6,1,-4950,-Infinity,-4950
D5,2,50,-Infinity,-4950
C6,1,-4950,-Infinity,-4950
D6,2,45,-Infinity,-4950
C6,1,-4950,-Infinity,-4950
D9,2,49,-Infinity,-4950
C6,1,-4950,-Infinity,-4950
E2,2,-49950,-Infinity,-4950
C6,1,-49950,-Infinity,-49950
E3,2,45,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
E5,2,45,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
E9,2,45,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
F2,2,45,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
F4,2,48,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
F8,2,-10,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
F9,2,-455,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
F10,2,49,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
G2,2,49,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
G3,2,40,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
G5,2,-5000,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
G7,2,48,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
G10,2,49,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
H3,2,49,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
H4,2,39,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
H9,2,48,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
H10,2,49,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
H11,2,50,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
H12,2,50,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
I3,2,45,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
I4,2,-965,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
I10,2,50,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
I12,2,50,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
J3,2,49,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
J6,2,-1,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
J8,2,48,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
J9,2,-950,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
J11,2,50,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
J12,2,50,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
K3,2,40,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
K4,2,45,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
K5,2,45,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
K6,2,45,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
K8,2,45,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
K9,2,50,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
K10,2,50,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
K12,2,50,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
L6,2,45,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
L7,2,49,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
L8,2,45,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
L10,2,50,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
L11,2,50,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
L12,2,50,-Infinity,-49950
C6,1,-49950,-Infinity,-49950
root,0,-49950,-49950,Infinity
C7,1,Infinity,-49950,Infinity
B6,2,1,-49950,Infinity
C7,1,1,-49950,1
B7,2,1,-49950,1
C7,1,1,-49950,1
B8,2,1,-49950,1
C7,1,1,-49950,1
C6,2,1,-49950,1
C7,1,1,-49950,1
C8,2,-100,-49950,1
C7,1,-100,-49950,-100
C9,2,-4999,-49950,-100
C7,1,-4999,-49950,-4999
D3,2,1,-49950,-4999
C7,1,-4999,-49950,-4999
D4,2,1,-49950,-4999
C7,1,-4999,-49950,-4999
D5,2,1,-49950,-4999
C7,1,-4999,-49950,-4999
D6,2,-4,-49950,-4999
C7,1,-4999,-49950,-4999
D9,2,0,-49950,-4999
C7,1,-4999,-49950,-4999
E2,2,-49999,-49950,-4999
C7,1,-49999,-49950,-4999
root,0,-49950,-49950,Infinity
C8,1,Infinity,-49950,Infinity
B7,2,1000,-49950,Infinity
C8,1,1000,-49950,1000
B8,2,1000,-49950,1000
C8,1,1000,-49950,1000
B9,2,-9000,-49950,1000
C8,1,-9000,-49950,-9000
C6,2,1000,-49950,-9000
C8,1,-9000,-49950,-9000
C7,2,995,-49950,-9000
C8,1,-9000,-49950,-9000
C9,2,-4000,-49950,-9000
C8,1,-9000,-49950,-9000
D3,2,1000,-49950,-9000
C8,1,-9000,-49950,-9000
D4,2,1000,-49950,-9000
C8,1,-9000,-49950,-9000
D5,2,1000,-49950,-9000
C8,1,-9000,-49950,-9000
D6,2,995,-49950,-9000
C8,1,-9000,-49950,-9000
D9,2,999,-49950,-9000
C8,1,-9000,-49950,-9000
E2,2,-49000,-49950,-9000
C8,1,-49000,-49950,-49000
E3,2,995,-49950,-49000
C8,1,-49000,-49950,-49000
E5,2,995,-49950,-49000
C8,1,-49000,-49950,-49000
E9,2,995,-49950,-49000
C8,1,-49000,-49950,-49000
F2,2,995,-49950,-49000
C8,1,-49000,-49950,-49000
F4,2,998,-49950,-49000
C8,1,-49000,-49950,-49000
F8,2,940,-49950,-49000
C8,1,-49000,-49950,-49000
F9,2,995,-49950,-49000
C8,1,-49000,-49950,-49000
F10,2,999,-49950,-49000
C8,1,-49000,-49950,-49000
G2,2,999,-49950,-49000
C8,1,-49000,-49950,-49000
G3,2,990,-49950,-49000
C8,1,-49000,-49950,-49000
G5,2,-4050,-49950,-49000
C8,1,-49000,-49950,-49000
G7,2,998,-49950,-49000
C8,1,-49000,-49950,-49000
G10,2,999,-49950,-49000
C8,1,-49000,-49950,-49000
H3,2,999,-49950,-49000
C8,1,-49000,-49950,-49000
H4,2,989,-49950,-49000
C8,1,-49000,-49950,-49000
H9,2,998,-49950,-49000
C8,1,-49000,-49950,-49000
H10,2,999,-49950,-49000
C8,1,-49000,-49950,-49000
H11,2,1000,-49950,-49000
C8,1,-49000,-49950,-49000
H12,2,1000,-49950,-49000
C8,1,-49000,-49950,-49000
I3,2,995,-49950,-49000
C8,1,-49000,-49950,-49000
I4,2,-15,-49950,-49000
C8,1,-49000,-49950,-49000
I10,2,1000,-49950,-49000
C8,1,-49000,-49950,-49000
I12,2,1000,-49950,-49000
C8,1,-49000,-49950,-49000
J3,2,999,-49950,-49000
C8,1,-49000,-49950,-49000
J6,2,949,-49950,-49000
C8,1,-49000,-49950,-49000
J8,2,998,-49950,-49000
C8,1,-49000,-49950,-49000
J9,2,0,-49950,-49000
C8,1,-49000,-49950,-49000
J11,2,1000,-49950,-49000
C8,1,-49000,-49950,-49000
J12,2,1000,-49950,-49000
C8,1,-49000,-49950,-49000
K3,2,990,-49950,-49000
C8,1,-49000,-49950,-49000
K4,2,995,-49950,-49000
C8,1,-49000,-49950,-49000
K5,2,995,-49950,-49000
C8,1,-49000,-49950,-49000
K6,2,995,-49950,-49000
C8,1,-49000,-49950,-49000
K8,2,995,-49950,-49000
C8,1,-49000,-49950,-49000
K9,2,1000,-49950,-49000
C8,1,-49000,-49950,-49000
K10,2,1000,-49950,-49000
C8,1,-49000,-49950,-49000
K12,2,1000,-49950,-49000
C8,1,-49000,-49950,-49000
L6,2,995,-49950,-49000
C8,1,-49000,-49950,-49000
L7,2,999,-49950,-49000
C8,1,-49000,-49950,-49000
L8,2,995,-49950,-49000
C8,1,-49000,-49950,-49000
L10,2,1000,-49950,-49000
C8,1,-49000,-49950,-49000
L11,2,1000,-49950,-49000
C8,1,-49000,-49950,-49000
L12,2,1000,-49950,-49000
C8,1,-49000,-49950,-49000
root,0,-49000,-49000,Infinity
C9,1,Infinity,-49000,Infinity
B8,2,500,-49000,Infinity
C9,1,500,-49000,500
B9,2,500,-49000,500
C9,1,500,-49000,500
B10,2,500,-49000,500
C9,1,500,-49000,500
C6,2,500,-49000,500
C9,1,500,-49000,500
C7,2,495,-49000,500
C9,1,495,-49000,495
C8,2,399,-49000,495
C9,1,399,-49000,399
C10,2,500,-49000,399
C9,1,399,-49000,399
D3,2,500,-49000,399
C9,1,399,-49000,399
D4,2,500,-49000,399
C9,1,399,-49000,399
D5,2,500,-49000,399
C9,1,399,-49000,399
D6,2,495,-49000,399
C9,1,399,-49000,399
D9,2,499,-49000,399
C9,1,399,-49000,399
D10,2,500,-49000,399
C9,1,399,-49000,399
E2,2,-49500,-49000,399
C9,1,-49500,-49000,399
root,0,-49000,-49000,Infinity
D3,1,Infinity,-49000,Infinity
C2,2,-90,-49000,Infinity
D3,1,-90,-49000,-90
C3,2,10,-49000,-90
D3,1,-90,-49000,-90
C4,2,10,-49000,-90
D3,1,-90,-49000,-90
C6,2,10,-49000,-90
D3,1,-90,-49000,-90
C7,2,5,-49000,-90
D3,1,-90,-49000,-90
C8,2,-91,-49000,-90
D3,1,-91,-49000,-91
C9,2,-4990,-49000,-91
D3,1,-4990,-49000,-4990
D2,2,10,-49000,-4990
D3,1,-4990,-49000,-4990
D4,2,10,-49000,-4990
D3,1,-4990,-49000,-4990
D5,2,10,-49000,-4990
D3,1,-4990,-49000,-4990
D6,2,5,-49000,-4990
D3,1,-4990,-49000,-4990
D9,2,9,-49000,-4990
D3,1,-4990,-49000,-4990
E2,2,-49990,-49000,-4990
D3,1,-49990,-49000,-4990
root,0,-49000,-49000,Infinity
D4,1,Infinity,-49000,Infinity
C3,2,5,-49000,Infinity
D4,1,5,-49000,5
C4,2,5,-49000,5
D4,1,5,-49000,5
C5,2,5,-49000,5
D4,1,5,-49000,5
C6,2,5,-49000,5
D4,1,5,-49000,5
C7,2,0,-49000,5
D4,1,0,-49000,0
C8,2,-96,-49000,0
D4,1,-96,-49000,-96
C9,2,-4995,-49000,-96
D4,1,-4995,-49000,-4995
D3,2,5,-49000,-4995
D4,1,-4995,-49000,-4995
D5,2,5,-49000,-4995
D4,1,-4995,-49000,-4995
D6,2,0,-49000,-4995
D4,1,-4995,-49000,-4995
D9,2,4,-49000,-4995
D4,1,-4995,-49000,-4995
E2,2,-49995,-49000,-4995
D4,1,-49995,-49000,-4995
root,0,-49000,-49000,Infinity
D5,1,Infinity,-49000,Infinity
C4,2,2,-49000,Infinity
D5,1,2,-49000,2
C5,2,2,-49000,2
D5,1,2,-49000,2
C6,2,2,-49000,2
D5,1,2,-49000,2
C7,2,-3,-49000,2
D5,1,-3,-49000,-3
C8,2,-99,-49000,-3
D5,1,-99,-49000,-99
C9,2,-4998,-49000,-99
D5,1,-4998,-49000,-4998
D3,2,2,-49000,-4998
D5,1,-4998,-49000,-4998
D4,2,2,-49000,-4998
D5,1,-4998,-49000,-4998
D6,2,-3,-49000,-4998
D5,1,-4998,-49000,-4998
D9,2,1,-49000,-4998
D5,1,-4998,-49000,-4998
E2,2,-49998,-49000,-4998
D5,1,-49998,-49000,-4998
root,0,-49000,-49000,Infinity
D6,1,Infinity,-49000,Infinity
C5,2,2,-49000,Infinity
D6,1,2,-49000,2
C6,2,2,-49000,2
D6,1,2,-49000,2
C7,2,-3,-49000,2
D6,1,-3,-49000,-3
C8,2,-99,-49000,-3
D6,1,-99,-49000,-99
C9,2,-4998,-49000,-99
D6,1,-4998,-49000,-4998
D3,2,2,-49000,-4998
D6,1,-4998,-49000,-4998
D4,2,2,-49000,-4998
D6,1,-4998,-49000,-4998
D5,2,2,-49000,-4998
D6,1,-4998,-49000,-4998
D9,2,1,-49000,-4998
D6,1,-4998,-49000,-4998
E2,2,-49998,-49000,-4998
D6,1,-49998,-49000,-4998
root,0,-49000,-49000,Infinity
D9,1,Infinity,-49000,Infinity
C6,2,1,-49000,Infinity
D9,1,1,-49000,1
C7,2,-4,-49000,1
D9,1,-4,-49000,-4
C8,2,-100,-49000,-4
D9,1,-100,-49000,-100
C9,2,-4999,-49000,-100
D9,1,-4999,-49000,-4999
C10,2,1,-49000,-4999
D9,1,-4999,-49000,-4999
D3,2,1,-49000,-4999
D9,1,-4999,-49000,-4999
D4,2,1,-49000,-4999
D9,1,-4999,-49000,-4999
